GeneID,Name
LOC589852,aquaporin-8
LOC100891811,aquaporin-11
LOC575438,aquaporin-12A
LOC762564,aquaporin-8
LOC755571,aquaporin AQPAn.G
LOC105447300,aquaporin-2-like
LOC581006,aquaporin-3
LOC584831,aquaporin-9
