GeneID,Name
LOC593176,SLC25A11
LOC756648,SLC25A11
LOC579964,SLC25A12
LOC584986,SLC25A14
LOC580690,SLC25A14
LOC105443468,SLC25A14
LOC580807,SLC25A14
LOC584753,SLC25A16
LOC753367,SLC25A18
LOC579067,SLC25A19
LOC582417,SLC25A20
LOC585283,SLC25A20
LOC577791,SLC25A21
LOC588410,SLC25A23
LOC592104,SLC25A26
LOC580090,SLC25A27
LOC577787,SLC25A32
LOC583160,SLC25A33
LOC100893731,SLC25A33
LOC577507,SLC25A34
LOC575691,SLC25A38
LOC579323,SLC25A39
LOC100892223,SLC25A39
LOC576399,SLC25A42
LOC100890832,SLC25A43
LOC577137,SLC25A44
LOC590913,SLC25A46
LOC584469,SLC26A11
LOC574650,SLC26A11
LOC588180,SLC27A6
LOC590092,SLC27A6
LOC590108,SLC27A6
LOC574602,SLC28A
LOC580019,SLC28A
LOC105441640,SLC28A
LOC752221,SLC28A
LOC592207,SLC29A1
LOC100892670,SLC29A1
LOC105442699,SLC29A1
LOC578611,SLC29A4
LOC584166,SLC30A1
LOC582642,SLC30A2
LOC100891808,SLC30A2
LOC582706,SLC30A2
LOC578888,SLC30A5
LOC756267,SLC30A5
LOC589887,SLC30A6
LOC585091,SLC30A9
LOC585004,SLC30A9
LOC580143,SLC31A1
LOC100888175,SLC31A1
LOC593695,SLC31A1
LOC586439,SLC32A
LOC583386,SLC32A
LOC577082,SLC32A
LOC576137,SLC34A
LOC576072,SLC34A
LOC582566,SLC35A1
LOC592955,SLC35A1
LOC585592,SLC35A1
LOC574819,SLC35A1
LOC576323,SLC35A1
LOC100890493,SLC35A4
LOC588619,SLC35A5
LOC578731,SLC35B1
LOC578873,SLC35B2
LOC105439617,SLC35B3
LOC575908,SLC35B4
LOC593968,SLC35C1
LOC763619,SLC35C2
LOC577438,SLC35D
LOC578420,SLC35D
LOC585860,SLC35E1
LOC578222,SLC35E2
LOC594082,SLC35E3
LOC592246,SLC35E3
LOC574685,SLC35F1
LOC574755,SLC35F3
LOC764407,SLC35F3
LOC594453,SLC35F5
LOC756989,SLC37A2
LOC763356,SLC37A2
LOC579594,SLC37A2
LOC589810,SLC37A3
LOC105441766,SLC37A4
LOC586297,SLC38A3
LOC581524,SLC38A7
LOC755212,SLC38A10
LOC583577,SLC38A11
LOC754194,SLC39A1
LOC576732,SLC39A1
LOC755663,SLC39A1
LOC590181,SLC39A1
LOC582713,SLC39A7
LOC587373,SLC39A9
LOC753062,SLC39A10
LOC589828,SLC39A11
LOC587958,SLC39A12
LOC584043,SLC39A13
LOC763759,SLC39A14
LOC577187,SLC40A1
LOC584099,SLC41A
LOC584796,SLC42A
LOC580733,SLC43A2
LOC100889901,SLC43A3
LOC752074,SLC43A3
LOC100891703,SLC43A3
LOC763517,SLC43A3
LOC105443553,SLC43A3
LOC583308,SLC44A1
LOC100889933,SLC44A1
LOC593044,SLC44A2
LOC586913,SLC44A2
LOC588147,SLC44A2
LOC576650,SLC45A1
LOC582658,SLC45A1
LOC585105,SLC45A1
LOC593620,SLC45A1
LOC576724,SLC45A3
LOC581639,SLC46A1
LOC576327,SLC46A1
LOC100891142,SLC46A1
LOC753373,SLC46A1
LOC764328,SLC46A1
LOC762767,SLC46A1
LOC755719,SLC46A1
LOC582728,SLC46A1
LOC581090,SLC46A1
LOC581471,SLC46A1
LOC100889368,SLC46A1
LOC590484,SLC46A1
LOC588699,SLC46A3
LOC754028,SLC46A3
LOC581591,SLC46A3
LOC100893391,SLC48A1
LOC753750,SLC50A
LOC100890911,SLC50A
LOC105446523,SLC50A
LOC594357,SLC52A3
LOC105443578,SLC52A3
LOC100889571,SLC52A3
LOC594363,SLC52A3
LOC100893119,SLC52A3
LOC574979,SLC52A3
LOC763547,SLC9A3
