p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
5.926892308163449e-44,0.25128053447840765,0.375,0.002,1.2934257084105095e-39,endoderm,LOC100887891
6.255169683861217e-37,0.28003201750743323,0.375,0.003,1.3650656801090334e-32,endoderm,LOC105439261
4.6570524250916665e-25,0.5326013550730146,0.5,0.014,1.0163085507277543e-20,endoderm,LOC105445055
1.7927762070619831e-23,1.3736943589377881,0.625,0.025,3.9123755166713656e-19,endoderm,Hbox7
1.4355445553511165e-20,0.35889972853299473,0.375,0.009,3.1327888831427415e-16,endoderm,LOC100887842
6.034663802216878e-19,0.7142436570696052,0.75,0.05,1.3169446815577893e-14,endoderm,LOC584138
4.227488994303274e-17,0.2931945334987255,0.25,0.005,9.225649232268035e-13,endoderm,LOC584124
9.12664517214091e-15,0.2794900353892627,0.25,0.006,1.9917077759163106e-10,endoderm,LOC576774
1.3532270160385065e-14,0.9174814270954804,0.625,0.046,2.953147317100833e-10,endoderm,LOC105441402
2.6707053309210034e-14,0.34256931549776093,0.375,0.015,5.828280243668906e-10,endoderm,LOC100890020
6.467952420488325e-14,0.8279284527757359,0.75,0.07,1.4115012567231672e-9,endoderm,LOC105440463
3.834376948975165e-13,2.0475898466472553,0.875,0.111,8.367760815748502e-9,endoderm,LOC105440257
4.5000691683526763e-13,0.771155657748452,0.625,0.05,9.820500946096046e-9,endoderm,LOC100893349
6.850538297814831e-13,1.2531138585254962,0.875,0.108,1.4949929727321306e-8,endoderm,VEB4
7.598540258825215e-12,0.7738720924283795,0.625,0.058,1.6582294406834267e-7,endoderm,LOC592889
1.3277342806981803e-11,0.4001907118225551,0.375,0.02,2.897514520767639e-7,endoderm,LOC100892662
1.9281221296948706e-11,0.6948546772525613,0.625,0.056,4.207740923633116e-7,endoderm,LOC587543
2.5393569810926476e-11,0.3242148138541041,0.5,0.037,5.541638739838485e-7,endoderm,LOC105445928
3.6022944861103815e-11,0.7433273004588627,0.375,0.021,7.861287257038686e-7,endoderm,MMP14
7.996364601079657e-11,0.3671058017902755,0.5,0.039,1.7450466468936134e-6,endoderm,LOC587822
1.0920329819627034e-9,0.5849497967423243,0.25,0.01,2.3831435765372076e-5,endoderm,LOC105440761
2.5719782369285358e-9,1.3738410415193054,0.875,0.164,5.612828106449144e-5,endoderm,LOC578469
2.96094816080784e-9,1.2117198524053643,0.75,0.112,6.46167717133095e-5,endoderm,LOC593517
4.655007995771921e-9,0.8605212659130722,0.75,0.114,1.0158623949173063e-4,endoderm,LOC100893348
4.796872877743732e-9,0.508964437616956,0.375,0.026,1.0468215681100147e-4,endoderm,LOC581041
5.4694544413933505e-9,0.252255100312509,0.25,0.012,1.1935990427452709e-4,endoderm,LOC105442355
6.080999330181823e-9,0.25743201789640385,0.5,0.047,1.3270564838255793e-4,endoderm,Lim1
8.455206045400683e-9,0.5659580907183349,0.625,0.078,1.845179615287791e-4,endoderm,LOC100890403
1.1819968292315428e-8,1.911931924549545,1,0.334,2.579471680431996e-4,endoderm,eve
2.0285008122835403e-8,0.7153719712644918,0.75,0.122,4.42679732264637e-4,endoderm,LOC100892019
2.6059101042771568e-8,1.3576516519785533,0.875,0.221,5.686877620564039e-4,endoderm,LOC100889188
2.9129992234049706e-8,0.5070839960824423,0.5,0.054,6.357038205236667e-4,endoderm,Not
3.66701096627514e-8,0.3663197290073269,0.625,0.082,8.002518031702239e-4,endoderm,LOC100892018
4.09293125521088e-8,0.3002991280141883,0.5,0.053,8.932003878246704e-4,endoderm,LOC105438059
5.29244790896899e-8,1.4964747325871177,0.75,0.138,0.0011549709071743026,endoderm,LOC575388
5.313981659781727e-8,1.5168306569370722,0.5,0.056,0.0011596702176141663,endoderm,LOC105437938
1.1301736790421676e-7,0.48865303883709826,0.75,0.141,0.002466378019773722,endoderm,LOC373259
1.244969912172486e-7,0.31211964791311864,0.5,0.059,0.002716897839334016,endoderm,LOC753897
1.614994157382199e-7,0.7539660809184345,0.375,0.033,0.003524401749655173,endoderm,LOC105443938
1.6532157338593398e-7,0.48388266974409017,0.375,0.033,0.0036078126960012373,endoderm,LOC105438237
1.9463440258108503e-7,0.37342275984221956,0.375,0.033,0.004247506567527018,endoderm,LOC105443369
2.342964120961419e-7,0.2714363133456946,0.375,0.033,0.0051130506011741045,endoderm,LOC589611
2.9984761459246265e-7,0.9961947048677996,0.875,0.232,0.006543574493251312,endoderm,LOC105438846
3.085424593541169e-7,0.6940352416456259,0.5,0.065,0.006733322090484893,endoderm,LOC578858
3.1238717991342984e-7,0.9211844799357224,0.75,0.161,0.00681722542725078,endoderm,LOC373350
3.678775052056971e-7,0.3339651654018796,0.125,0.003,0.008028190796103929,endoderm,LOC576343
4.2362855105850184e-7,0.47519066253614217,0.75,0.159,0.009244845869749685,endoderm,LOC587789
4.4883564426109136e-7,0.8996289053257218,0.875,0.253,0.009794940264709796,endoderm,LOC100888863
5.360546482473869e-7,0.3451967314944948,0.5,0.063,0.011698320588702725,endoderm,LOC582205
8.086225739338302e-7,0.3633751999160676,0.375,0.037,0.017646570430957978,endoderm,LOC576824
8.238693140543313e-7,0.553620570929891,0.625,0.109,0.01797930004060767,endoderm,LOC575643
1.0321204396675301e-6,0.3948691603214943,0.5,0.07,0.02252396435486451,endoderm,LOC584304
1.144287052758132e-6,0.2528190777512873,0.375,0.038,0.024971776352340713,endoderm,LOC589345
1.563237663304112e-6,0.34801764412730524,0.5,0.074,0.034114535526285635,endoderm,LOC593722
1.8137938721516758e-6,0.26881210667931,0.25,0.017,0.03958242367196602,endoderm,LOC574568
1.8549631632892991e-6,0.30760399554798534,0.375,0.04,0.04048086111246237,endoderm,LOC100889497
1.9478016832879045e-6,0.4480599378863169,0.5,0.069,0.04250687613439194,endoderm,LOC752601
2.6684298276427286e-6,0.5956659804008623,0.625,0.119,0.05823314412864727,endoderm,LOC105445164
2.720294070336301e-6,0.30264627059678845,0.5,0.077,0.0593649774969491,endoderm,LOC754050
3.2708853656653093e-6,0.35663424601214044,0.625,0.119,0.07138053133491404,endoderm,LOC579019
3.351187605593279e-6,0.5025178803675364,0.625,0.124,0.07313296711686212,endoderm,LOC587430
3.492668274749581e-6,1.1985236448891299,0.75,0.203,0.0762204997598601,endoderm,LOC373243
3.6406140202636568e-6,0.4935123770917317,0.625,0.119,0.07944911976421379,endoderm,LOC580685
3.6585038929203453e-6,0.27553477934382464,0.25,0.018,0.07983953045520069,endoderm,LOC591531
3.6585038929203453e-6,0.26758900935944796,0.25,0.018,0.07983953045520069,endoderm,LOC577150
4.362882684557128e-6,0.6639640968203995,0.75,0.192,0.0952111888250902,endoderm,LOC752722
4.416801463755764e-6,0.7978416552762365,0.625,0.126,0.09638785834354203,endoderm,Wnt8
4.48657827269165e-6,1.9187862414815924,1,0.626,0.09791059764494989,endoderm,LOC580803
5.232245641990323e-6,1.106538803865882,1,0.577,0.11418329664515482,endoderm,LOC100888257
5.516541285002091e-6,0.8307959755373766,0.75,0.198,0.12038748046260063,endoderm,LOC105438238
5.76435758539194e-6,0.4185206082919678,0.625,0.13,0.12579557558600832,endoderm,LOC100893636
5.990818583480757e-6,1.5038743178599905,0.875,0.301,0.13073763394730056,endoderm,LOC752524
6.3918772510517735e-6,0.42182133866285093,0.125,0.005,0.13948993724970285,endoderm,LOC576631
7.340264562711528e-6,0.540404283571649,0.5,0.081,0.16018659355205367,endoderm,LOC105438104
9.092726215088426e-6,0.40927597253712117,0.375,0.046,0.19843056419187471,endoderm,LOC578125
9.585121096787885e-6,1.3741002689081063,0.75,0.217,0.209176097695202,endoderm,blimp1/krox
1.1664732015751797e-5,0.3937031686066738,0.75,0.214,0.25455944677975145,endoderm,LOC593520
1.2316464335223809e-5,0.25805396455043045,0.5,0.086,0.26878220118758916,endoderm,LOC592505
1.2819621404225153e-5,0.49055163894976334,0.5,0.085,0.2797625979044055,endoderm,LOC105444249
1.292859459681236e-5,0.49337572825667836,1,0.565,0.2821407198862361,endoderm,LOC582180
1.4435787122652237e-5,0.7806937922507596,0.875,0.37,0.31503218237763975,endoderm,LOC585216
1.9385594151899604e-5,0.4207867264813745,0.875,0.334,0.42305182117690504,endoderm,LOC576885
2.1424769634300708e-5,0.2816804845206917,0.5,0.085,0.46755274772934435,endoderm,LOC585866
2.777038778223917e-5,0.6897442905007283,0.625,0.139,0.6060331725718054,endoderm,LOC578847
3.259972352083653e-5,0.5623481657721074,0.625,0.146,0.7114237663952155,endoderm,LOC582822
4.003391579448352e-5,0.31401670025300743,0.5,0.096,0.8736601443830139,endoderm,LOC100888331
4.034499868392053e-5,1.0030155401480347,0.75,0.26,0.8804489062791978,endoderm,LOC100888601
4.474777171141081e-5,0.6837199330295651,0.375,0.054,0.976530622058118,endoderm,LOC579539
4.9747713599649034e-5,0.26056662022461125,0.375,0.051,1,endoderm,LOC580450
5.539329519429897e-5,0.28997021244946625,0.25,0.024,1,endoderm,LOC105442966
5.769411768253029e-5,0.7471944183569146,1,0.816,1,endoderm,LOC582486
5.9400350679691605e-5,0.3615364341833977,0.625,0.165,1,endoderm,LOC756999
6.0110247282013976e-5,1.0414489924705044,0.875,0.506,1,endoderm,LOC100888637
7.639909150070251e-5,0.293046059794037,0.375,0.055,1,endoderm,LOC105444787
9.593390214432543e-5,0.4201251127674153,0.75,0.283,1,endoderm,LOC574755
9.729849810605105e-5,0.7331462185144115,0.875,0.421,1,endoderm,LOC100892388
1.0740959656280165e-4,0.2960036290808695,0.375,0.056,1,endoderm,LOC100888315
1.107169187288731e-4,0.31828488662562854,0.625,0.172,1,endoderm,LOC105440508
1.129276768445285e-4,0.5913462863761025,0.875,0.422,1,endoderm,LOC583297
1.2937110547926988e-4,0.5203589943768924,0.25,0.026,1,endoderm,LOC577952
1.317931292907052e-4,1.8148187541400413,1,0.869,1,endoderm,LOC592057
1.4229013939041321e-4,0.5699412781450759,0.625,0.18,1,endoderm,LOC580840
1.4761432150606766e-4,0.4393529755764536,1,0.971,1,endoderm,LOC100891449
1.5283229135782745e-4,0.39088698954861384,0.875,0.437,1,endoderm,LOC593162
1.5755631111515612e-4,0.4012902773328416,0.875,0.426,1,endoderm,LOC575345
1.6162352000745515e-4,0.8243458156634662,0.75,0.293,1,endoderm,LOC100889104
1.697362037082653e-4,0.2665688544229931,0.25,0.028,1,endoderm,LOC105437692
1.7972230236089066e-4,0.26171526370702514,0.25,0.028,1,endoderm,LOC100889118
1.878233374597603e-4,0.2690360003355343,0.375,0.062,1,endoderm,LOC100891487
2.0977298859802907e-4,0.7813040819319763,0.625,0.183,1,endoderm,HE
2.1255828216650344e-4,0.5028740655417642,0.5,0.118,1,endoderm,LOC576563
2.2016534269008015e-4,0.5815102894407937,0.375,0.065,1,endoderm,LOC100889512
2.3941412738323164e-4,0.30839005003188114,0.5,0.113,1,endoderm,LOC584166
2.438292707293724e-4,0.26598018874859375,0.25,0.029,1,endoderm,LOC105437724
2.856492784808174e-4,0.4213938490139061,0.875,0.55,1,endoderm,LOC100889357
2.8919888887483263e-4,0.49979367863196633,0.625,0.195,1,endoderm,LOC581274
3.154081894753302e-4,0.7545424618592758,1,0.737,1,endoderm,LOC574620
3.2181171945462904e-4,0.6447756094730015,1,0.994,1,endoderm,LOC373342
3.271515202011042e-4,0.5446029800706049,0.625,0.192,1,endoderm,LOC762428
3.297028921176252e-4,0.6339499142478677,0.625,0.192,1,endoderm,LOC590481
3.726197279959281e-4,0.2912061074650838,0.375,0.069,1,endoderm,LOC105439916
3.8998786146919644e-4,0.4906507087176821,1,0.949,1,endoderm,LOC105440870
4.1494793783649914e-4,0.36471781244703483,0.25,0.031,1,endoderm,LOC581885
4.1557922660116965e-4,0.2823324831288391,0.375,0.068,1,endoderm,LOC755020
4.3353826762627625e-4,0.7918010690752221,0.75,0.356,1,endoderm,LOC589555
4.338932265367753e-4,1.468396841277169,1,0.904,1,endoderm,LOC589247
4.5325588781766304e-4,0.3270013487888377,1,0.607,1,endoderm,LOC574929
4.930404325671334e-4,0.5788025493038795,0.125,0.008,1,endoderm,LOC587887
4.930404325671334e-4,0.33246921710900607,0.125,0.008,1,endoderm,LOC100892379
5.029523389772876e-4,0.5537297898737814,1,0.979,1,endoderm,LOC590109
5.169887908665978e-4,0.813104168909789,0.5,0.135,1,endoderm,LOC585594
5.249778618453728e-4,0.7795270005604411,0.875,0.566,1,endoderm,LOC578796
5.621782997236604e-4,0.34868993920043373,0.75,0.346,1,endoderm,LOC100892922
5.726663523184115e-4,0.5619964364275671,1,0.838,1,endoderm,LOC592762
6.351935407399441e-4,1.4558515732056327,1,0.772,1,endoderm,LOC105437105
6.737710728720329e-4,0.5270111820552585,0.5,0.132,1,endoderm,LOC105437453
6.797139777704545e-4,0.2569274367101157,0.375,0.075,1,endoderm,LOC586242
6.860618441571171e-4,0.4926898847544423,1,0.955,1,endoderm,LOC586593
7.584214952911507e-4,1.508714305101083,0.75,0.379,1,endoderm,LOC576138
8.701961721760428e-4,0.2812806014917272,0.375,0.078,1,endoderm,LOC583074
8.831953368486421e-4,0.3367826160301456,0.375,0.076,1,endoderm,LOC586768
9.213630730376136e-4,1.2491438102749222,0.625,0.23,1,endoderm,LOC584119
9.832480326095775e-4,0.3976540217511042,1,0.988,1,endoderm,LOC588512
0.0010112428825898754,0.40241705501379177,1,0.931,1,endoderm,LOC100892079
0.0010701806463619824,0.9097154458428008,0.625,0.226,1,endoderm,LOC373245
0.0011893328907033075,0.4533639993289336,1,0.603,1,endoderm,LOC586986
0.001234355522421385,0.3833578532587676,0.875,0.643,1,endoderm,LOC100892549
0.0012676910258919082,0.40666572433967807,1,0.795,1,endoderm,LOC591753
0.001278941901578495,0.5625334915290655,0.5,0.149,1,endoderm,LOC594653
0.0012992430375924385,0.4092226901463045,1,0.795,1,endoderm,LOC587794
0.001317878868976932,0.32411233347163754,0.75,0.371,1,endoderm,LOC585053
0.001367781291948575,0.6266215755407318,0.875,0.956,1,endoderm,LOC576796
0.0013920622216667352,0.40054864333400975,0.875,0.499,1,endoderm,LOC589445
0.001503028637186188,0.3601343230610774,0.625,0.255,1,endoderm,LOC577986
0.0015215046253673507,0.3861539814688634,0.875,0.672,1,endoderm,LOC580884
0.0015299494211590294,0.44719773541168495,1,0.986,1,endoderm,LOC578813
0.0015362296146061928,0.27284885498204486,0.5,0.147,1,endoderm,LOC100891963
0.0015435695392772176,0.3966744003311683,0.75,0.409,1,endoderm,LOC591582
0.001565326699475477,0.4308837462820967,0.875,0.517,1,endoderm,LOC100888170
0.001589687039248763,0.34898967603717757,1,0.962,1,endoderm,LOC576136
0.0015958172921933576,0.3963271490439493,1,0.895,1,endoderm,foxx
0.0016034962144161437,0.4962826785989234,1,0.938,1,endoderm,LOC575018
0.0016436744110772026,0.9848619803981657,1,0.953,1,endoderm,LOC105440218
0.0016645602852465385,0.3995874084904356,0.5,0.16,1,endoderm,LOC589998
