GeneID,Name
LOC594082,solute carrier family 35 member E3
LOC578509,"solute carrier family 2, facilitated glucose transporter member 10"
LOC577239,solute carrier organic anion transporter family member 4A1
LOC105443553,solute carrier family 43 member 3-like
LOC100892825,solute carrier family 22 member 15-like
LOC763619,solute carrier family 35 member C2
LOC754406,solute carrier family 23 member 1
LOC592204,solute carrier family 12 member 8
LOC592150,solute carrier family 25 member 51
LOC585380,solute carrier organic anion transporter family member 4A1
LOC584316,solute carrier family 49 member 4
LOC584099,solute carrier family 41 member 1
LOC582680,solute carrier family 35 member G1
LOC578361,solute carrier family 12 member 4
LOC578071,solute carrier family 15 member 4
LOC577208,solute carrier organic anion transporter family member 4A1
LOC577137,solute carrier family 25 member 44
LOC576993,solute carrier organic anion transporter family member 4A1
LOC574602,solute carrier family 28 member 3
LOC100893731,solute carrier family 25 member 36
LOC100893119,"solute carrier family 52, riboflavin transporter, member 3"
LOC100892223,solute carrier family 25 member 40
LOC100891703,solute carrier family 43 member 3
LOC100890832,solute carrier family 25 member 43
LOC100889901,solute carrier family 43 member 3
LOC100888036,solute carrier family 49 member 4 homolog
LOC756186,solute carrier organic anion transporter family member 3A1
LOC753736,solute carrier family 66 member 2
LOC594463,solute carrier family 13 member 5
LOC594453,solute carrier family 35 member F5
LOC594363,"solute carrier family 52, riboflavin transporter, member 3-A"
LOC591667,solute carrier organic anion transporter family member 4A1
LOC590913,solute carrier family 25 member 46
LOC590274,"solute carrier family 2, facilitated glucose transporter member 1"
LOC585953,solute carrier organic anion transporter family member 4A1
LOC585860,solute carrier family 35 member E1
LOC585670,solute carrier family 49 member A3
LOC584154,solute carrier family 49 member A3
LOC583692,solute carrier organic anion transporter family member 2A1
LOC583334,"solute carrier family 2, facilitated glucose transporter member 5"
LOC582285,"solute carrier family 2, facilitated glucose transporter member 8"
LOC581658,solute carrier organic anion transporter family member 4A1
LOC581229,solute carrier family 12 member 9
LOC581041,solute carrier organic anion transporter family member 1A4
LOC580019,solute carrier family 28 member 3
