Gene,RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific NX,RNA single cell type specificity,RNA single cell type distribution,RNA single cell type specificity score,RNA single cell type specific NX
SLC36A2,Group enriched,Detected in some,9,kidney: 60.3;skeletal muscle: 36.8;tongue: 16.1,Cell type enriched,Detected in some,9,Proximal tubular cells: 44.0
SLC36A3,Tissue enriched,Detected in single,17,testis: 14.5,Group enriched,Detected in some,57,Early spermatids: 47.0;Late spermatids: 85.3
SLC38A4,Tissue enriched,Detected in some,22,liver: 128.2,Cell type enriched,Detected in some,16,Hepatocytes: 251.9
SLC38A3,Tissue enriched,Detected in some,5,liver: 107.8,Group enriched,Detected in many,7,Bipolar cells: 86.1;Cone photoreceptor cells: 176.7;Hepatocytes: 93.4;Muller glia cells: 75.9;Rod photoreceptor cells: 112.3
SLC38A5,Tissue enriched,Detected in many,5,pancreas: 87.7,Cell type enhanced,Detected in many,14,Exocrine glandular cells: 67.4;Pancreatic endocrine cells: 93.7
SLC39A12,Group enriched,Detected in many,13,brain: 42.3;retina: 19.2,Cell type enriched,Detected in some,30,Muller glia cells: 85.4
SLC39A4,Tissue enriched,Detected in some,9,intestine: 77.7,Cell type enhanced,Detected in many,5,Enterocytes: 153.2;Proximal tubular cells: 139.9
SLC43A1,Group enriched,Detected in many,5,gallbladder: 27.0;liver: 91.8;pancreas: 100.5,Cell type enhanced,Detected in many,14,Cholangiocytes: 40.8;Hepatocytes: 109.6
SLC45A2,Tissue enriched,Detected in some,9,retina: 39.9,Cell type enhanced,Detected in some,31,Early spermatids: 2.4;Late spermatids: 3.1;Melanocytes: 11.8
SLC45A3,Tissue enriched,Detected in many,5,prostate: 115.0,Group enriched,Detected in many,11,Glandular cells: 50.8;granulocytes: 117.6
SLC4A10,Group enriched,Detected in many,9,blood: 31.2;brain: 48.1,Cell type enriched,Detected in some,12,Bipolar cells: 116.7
SLC4A5,Tissue enriched,Detected in many,5,retina: 109.1,Cell type enhanced,Detected in some,28,Cone photoreceptor cells: 33.4;Horizontal cells: 158.9;Rod photoreceptor cells: 43.4
SLC4A9,Tissue enriched,Detected in some,7,kidney: 26.7,Cell type enhanced,Detected in single,21,Distal tubular cells: 1.7
SLC52A1,Group enriched,Detected in some,4,intestine: 25.6;placenta: 34.6,Cell type enriched,Detected in some,5,Syncytiotrophoblasts: 685.8
SLC5A12,Group enriched,Detected in some,4,intestine: 60.8;kidney: 90.3,Cell type enriched,Detected in some,18,Proximal tubular cells: 145.9
SLC5A8,Group enriched,Detected in some,5,"cervix, uterine: 14.3;kidney: 13.8;thyroid gland: 21.2",Cell type enhanced,Detected in some,20,Alveolar cells type 2: 7.7;Horizontal cells: 9.5;Intestinal endocrine cells: 30.3;Proximal tubular cells: 10.3
SLC5A1,Tissue enriched,Detected in many,11,intestine: 274.9,Cell type enhanced,Detected in many,13,Cardiomyocytes: 111.5;Cholangiocytes: 117.2;Early spermatids: 40.8;Late spermatids: 54.9
SLC5A10,Tissue enriched,Detected in some,5,kidney: 70.6,Group enriched,Detected in some,4,Late spermatids: 20.1;Proximal tubular cells: 51.2
SLC5A2,Tissue enriched,Detected in some,17,kidney: 33.7,Group enriched,Detected in some,11,Early spermatids: 46.9;Late spermatids: 103.8;Proximal tubular cells: 139.8
SLC5A4,Tissue enriched,Detected in some,29,intestine: 73.6,Not detected,Not detected,NA,NA
SLC5A5,Group enriched,Detected in some,6,brain: 31.5;salivary gland: 66.8;stomach 1: 32.7,Group enriched,Detected in some,6,Ciliated cells: 5.3;Club cells: 7.9;Spermatogonia: 7.9
SLC5A7,Tissue enriched,Detected in many,9,brain: 45.1,Group enriched,Detected in some,13,Alveolar cells type 1: 3.0;Ciliated cells: 2.7;Club cells: 5.7
SLC5A9,Tissue enriched,Detected in some,11,intestine: 77.3,Cell type enhanced,Detected in some,18,Alveolar cells type 1: 20.8;Early spermatids: 5.8;granulocytes: 4.6;Late spermatids: 7.9
SLC6A16,Tissue enriched,Detected in many,13,testis: 102.2,Cell type enhanced,Detected in many,16,Early spermatids: 81.2;Late spermatids: 36.5;Spermatocytes: 90.2
SLC6A17,Tissue enriched,Detected in many,4,brain: 53.5,Cell type enhanced,Detected in some,22,Bipolar cells: 2.1;Melanocytes: 10.1;Rod photoreceptor cells: 3.6
SLC6A18,Tissue enriched,Detected in single,32,kidney: 14.1,Group enriched,Detected in some,71,Distal tubular cells: 6.6;Proximal tubular cells: 21.3
SLC6A5,Tissue enriched,Detected in some,4,brain: 21.3,Group enriched,Detected in some,27,Early spermatids: 20.8;Late spermatids: 40.6
SLC6A1,Group enriched,Detected in many,7,brain: 56.2;liver: 75.6,Cell type enhanced,Detected in some,16,Cholangiocytes: 17.8;Hepatocytes: 24.5;Muller glia cells: 41.9;Sertoli cells: 12.9
SLC6A11,Group enriched,Detected in many,6,brain: 37.0;esophagus: 10.5;skin 1: 11.5,Cell type enhanced,Detected in some,19,Bipolar cells: 7.9;Extravillous trophoblasts: 6.2;Muller glia cells: 21.8;Peritubular cells: 6.3
SLC6A13,Group enriched,Detected in some,7,kidney: 77.6;retina: 95.9,Cell type enriched,Detected in some,6,Proximal tubular cells: 261.2
SLC6A19,Tissue enriched,Detected in some,6,intestine: 167.3,Group enriched,Detected in some,6,Cholangiocytes: 63.7;Enterocytes: 25.3;Proximal tubular cells: 65.4
SLC6A20,Group enriched,Detected in many,5,gallbladder: 14.3;intestine: 25.5;retina: 51.3,Cell type enhanced,Detected in some,13,Alveolar cells type 2: 5.3;Cholangiocytes: 12.7;Ductal cells: 10.1;Pancreatic endocrine cells: 6.2
SLC6A3,Tissue enriched,Detected in some,14,brain: 48.4,Cell type enriched,Detected in single,5,Alveolar cells type 2: 2.9
SLC6A7,Tissue enriched,Detected in some,5,brain: 40.2,Cell type enhanced,Detected in some,18,Enterocytes: 2.1;Intestinal endocrine cells: 3.5;Mucus-secreting cells: 4.8;Paneth cells: 8.6;Undifferentiated cells: 3.4
SLC7A13,Tissue enriched,Detected in some,12,kidney: 31.7,Cell type enhanced,Detected in some,31,Collecting duct cells: 1.8;Distal tubular cells: 3.3;Proximal tubular cells: 8.6
SLC7A14,Group enriched,Detected in many,4,brain: 33.4;pituitary gland: 14.5,Group enriched,Detected in some,5,Bipolar cells: 31.5;Horizontal cells: 27.0
SLC7A3,Tissue enriched,Detected in many,4,lymphoid tissue: 45.5,Group enriched,Detected in some,6,Early spermatids: 5.3;Late spermatids: 1.9
SLC7A8,Tissue enriched,Detected in all,4,parathyroid gland: 204.0,Cell type enhanced,Detected in many,6,Ito cells: 97.0;Kupffer cells: 71.7;Proximal tubular cells: 98.9
SLC7A9,Group enriched,Detected in some,4,intestine: 63.3;kidney: 26.4,Cell type enriched,Detected in some,5,Proximal tubular cells: 55.5
SLC9A4,Group enriched,Detected in some,6,gallbladder: 23.2;kidney: 12.3;stomach 1: 33.9,Cell type enriched,Detected in some,8,Collecting duct cells: 24.4
SLC9C1,Tissue enriched,Detected in some,6,testis: 25.5,Cell type enriched,Detected in some,6,Spermatocytes: 12.7
SLC9C2,Tissue enriched,Detected in some,9,testis: 24.9,Cell type enhanced,Detected in some,13,Club cells: 2.3;Cone photoreceptor cells: 5.9;Early spermatids: 4.2;Late spermatids: 2.3;Spermatocytes: 4.2
