dev_stage,dev_stage_available_idents,dev_stage_cell_ident_num_cell,dev_stage_cell_ident_percentage
LG,ciliated_cells_m,93,0.007250331332345833
LG,endoderm_endo-msd,378,0.02946908864114758
LG,neural_AnEctoE,406,0.0316519840960474
LG,transient_8_to_eb,48,0.0037421064941139783
LG,nsm_pigment_cells,475,0.03703126218133625
LG,oral_ectoderm_64,573,0.04467139627348562
LG,oral_ectoderm_m,1003,0.07819443361659001
LG,endoderm_eb,480,0.03742106494113978
LG,wtf,183,0.014266781008809543
LG,skeleton_64,14,0.0010914477274499104
LG,neural_AnEctoL,331,0.025804942698994308
LG,neural_neuro_prog,176,0.013721057145084587
LG,skeleton_hb,85,0.00662664691666017
LG,transient,23,0.0017930926950962814
LG,germline,4,3.1184220784283154e-4
